Id x y vx vy fx fy

1 42.8127 24.3775 0.00653496 0.0157878 5.65914e-07 5.38111e-06
2 11.929 69.6453 0.00540476 0.0150172 1.183e-06 7.49704e-07
3 94.4837 62.2477 0.0219146 0.000655729 -3.17665e-05 2.26262e-05
4 14.0758 13.5668 0.0175999 0.00447878 1.21126e-06 2.69791e-06
5 90.6377 61.6303 0.00857155 0.000233978 -2.32211e-05 1.84633e-05
6 16.5382 83.4017 0.0105748 0.00676036 1.25026e-06 3.8891e-07
7 97.0419 55.094 -0.000276396 0.0178362 -3.01863e-05 2.49305e-05
8 73.6149 12.9262 -0.0108477 0.00857414 -7.29525e-06 2.51249e-05
9 23.5718 24.2233 -0.0027412 0.00302959 1.11053e-06 2.91257e-06
10 15.1798 2.8562 0.00554745 0.0116462 1.25337e-06 3.26415e-06
11 40.7793 31.6358 -0.00583865 0.0158089 6.25729e-07 4.16813e-06
12 37.2279 38.3458 0.00117552 -0.00776658 7.1348e-07 3.07191e-06
13 40.5421 46.5811 -0.000395769 0.01859 5.66632e-07 2.79669e-06
14 84.1105 93.1135 0.00720555 0.00823041 -2.14812e-05 4.63749e-07
15 32.326 18.5506 -8.99487e-05 -0.00336399 1.01757e-06 4.30623e-06
16 68.9782 59.4801 -0.00191923 0.0244363 -3.75354e-06 6.83999e-06
17 48.0818 69.383 -0.00163656 -0.00988441 2.01633e-07 2.4218e-06
18 7.67653 91.4975 0.0171302 -0.00327092 1.23648e-06 6.84592e-08
19 7.5695 60.416 0.0258366 -0.00516292 1.11098e-06 8.7291e-07
20 35.712 70.7298 0.000326202 0.00178216 9.31491e-07 1.49471e-06
21 83.2088 73.5588 0.00283648 0.0150369 -1.66157e-05 1.01876e-05
22 50.3347 70.7354 -0.0057212 0.00253676 -2.35583e-08 2.5199e-06
23 9.58392 81.5259 -0.00308022 0.00333011 1.22807e-06 3.73297e-07
24 6.29255 34.1367 0.00300617 -0.00300186 1.05669e-06 1.43968e-06
25 36.0732 60.9488 -0.00327327 0.0028433 8.49132e-07 1.98892e-06
26 84.0034 1.11341 -0.00591381 -0.017592 -2.07753e-05 5.68569e-05
27 74.8034 96.762 0.0162011 0.015546 -9.17864e-06 -1.08378e-06
28 2.20155 41.4568 -0.0118479 0.00196752 9.86226e-07 1.0783e-06
29 25.1814 48.232 0.0139095 -0.0110196 9.56247e-07 1.74917e-06
30 31.958 96.836 0.0100632 -0.00771644 1.11652e-06 -1.83746e-07
31 0.680051 63.5601 0.0013697 -0.013047 1.09757e-06 6.72394e-07
32 69.8264 62.2703 0.0106018 0.0139877 -4.26786e-06 6.83824e-06
33 81.3329 80.5038 -0.0186843 0.00468278 -1.55402e-05 6.6431e-06
34 9.17074 85.1663 -0.00895446 0.00795291 1.23563e-06 2.61956e-07
35 56.7077 42.217 0.00167601 -0.00457011 -6.45783e-07 5.06018e-06
